Nome: JUIZ DE FORA
Codigo Estacao: A518
Latitude: -21.769965
Longitude: -43.364329
Altitude: 936.88
Situacao: Operante
Data Inicial: 2007-05-25
Data Final: 2020-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-09-28;0;28.4;19.770833;13.5;71.291667;3.233333;
2007-09-29;5;20.1;16.908333;15.1;91.75;3.4875;
2007-09-30;0;17.5;15.245833;13.4;89.458333;3.175;
2007-10-01;.2;19.5;14.933333;12.3;75.625;4.095833;
2007-10-02;0;21.2;15.8375;12.2;73.375;3.158333;
2007-10-03;0;23.7;17.15;12.5;71.166667;3.579167;
2007-10-04;0;23.7;16.658333;11.7;74.25;3.279167;
2007-10-05;0;25;17.420833;11.8;72.375;3.433333;
2007-10-06;0;27.1;19.195833;12.8;64.75;3.35;
2007-10-07;0;29;21.370833;14.9;58.333333;2.804167;
2007-10-08;0;24.3;19.669565;15.5;70.391304;3.378261;
2007-10-09;0;24.4;18.756522;15;70.347826;4.06087;
2007-10-10;0;26.4;19.666667;14.8;63.75;3.85;
2007-10-11;0;27.8;21.145833;15;54.833333;3.329167;
2007-10-12;0;28.7;21.795833;15.3;52.625;3.658333;
2007-10-13;0;29.7;23.383333;17.7;52.416667;3.675;
2007-10-14;0;30.9;23.933333;20.5;57.041667;3.245833;
2007-10-15;0;27.6;21.316667;17.2;72.875;2.4125;
2007-10-16;0;29.3;22.641667;16.7;63.5;3.4875;
2007-10-17;0;33;24.15;19.8;52.416667;3.979167;
2007-10-18;7.6;24;18.595833;16.3;90.375;2.8625;
2007-10-19;11.2;21.2;17.625;15.8;93.041667;3.0125;
2007-10-20;7.4;26.9;20.295833;16.7;84.541667;2.2;
2007-10-21;0;32;23.904167;18.6;69.333333;2.604167;
2007-10-22;13.4;26.5;19.229167;16.7;85.833333;3.0125;
2007-10-23;27.8;22.1;18.433333;16.2;89.583333;2.6125;
2007-10-24;2;18.4;17.383333;16.8;97.541667;2.5375;
2007-10-25;11.6;18.5;17.083333;16.3;98.708333;2.141667;
2007-10-26;21.6;23.6;18.916667;16.7;93.833333;2.879167;
2007-10-27;0;27.5;21.170833;17.1;82.041667;3.004167;
2007-10-28;4.6;28.7;21.9625;17.5;74.166667;2.35;
2007-10-29;.4;31;23.725;17.8;71.75;2.254167;
2007-10-30;0;31.6;25.3625;20;67.458333;2.154167;
2007-10-31;0;29.3;23.529167;19;74.458333;2.604167;
2007-11-01;0;31.7;23.495833;20.8;68.208333;2.6875;
2007-11-02;.8;29.5;23.45;19.6;71.791667;3.208333;
2007-11-03;0;30.7;24.6;20.6;69.875;2.920833;
2007-11-04;5.4;26.4;20.958333;19.7;85.125;2.804167;
2007-11-05;7.2;21.1;17.933333;16;91.833333;3.1375;
2007-11-06;.8;21.9;18.4375;16.8;94.083333;2.1875;
2007-11-07;.8;23.3;19.25;17.5;88.875;3.15;
2007-11-08;21.8;23.7;19.470833;17.8;89.5;2.595833;
2007-11-09;3.6;24.2;19.108333;15.9;87.625;3.604167;
2007-11-10;1.4;25;20.8375;18.9;80.958333;3.708333;
2007-11-11;1.2;29.1;22.6875;18.7;71.833333;3.7625;
2007-11-12;3;21.3;18.175;18.1;98;3.3375;
2007-11-13;68;16.9;15.495833;14.1;97.875;2.991667;
2007-11-14;4;26.1;20.233333;15.7;80.5;3.4875;
2007-11-15;0;27.4;20.895652;18.6;78.130435;3.6;
2007-11-16;null;null;null;null;null;null;
2007-11-17;null;null;null;null;null;null;
2007-11-18;null;null;null;null;null;null;
2007-11-19;null;null;null;null;null;null;
2007-11-20;null;26.7;20.004167;16.7;81.625;3.4625;
2007-11-21;0;24.8;18.4375;15;79.583333;4.445833;
2007-11-22;0;23.1;16.779167;12.9;75.166667;4.120833;
2007-11-23;0;23.8;17.325;12.7;80.25;2.495833;
2007-11-24;0;25.9;19.845833;15.8;78.833333;3.116667;
2007-11-25;1;26.2;20.254167;17.7;84.666667;3.008333;
2007-11-26;13.6;26.4;21.504167;18.1;81.333333;2.475;
2007-11-27;21;24.3;19.554167;17.4;89.125;3.670833;
2007-11-28;0;23.7;17.745833;14.9;85.333333;3.891667;
2007-11-29;0;21.4;16.558333;13.5;81.625;2.5;
2007-11-30;.2;23.6;17.845833;14.4;86.916667;2.541667;
2007-12-01;0;25.6;18.8875;15.7;84.75;2.691667;
2007-12-02;21.2;27.6;20.8;17.1;84.125;2.5;
2007-12-03;0;29.3;21.695833;18.1;80.5;2.233333;
2007-12-04;0;28.2;21.283333;18.4;85.916667;2.254167;
2007-12-05;.6;29.8;22.620833;18.5;75.75;2.420833;
2007-12-06;8;30.5;23.545833;19.2;74.875;4.245833;
2007-12-07;8;28.9;21.729167;19.9;84.083333;3.883333;
2007-12-08;16.8;25.2;20.958333;18.7;89.75;1.970833;
2007-12-09;0;27.9;22.791667;19.4;82.916667;2.583333;
2007-12-10;0;28.4;23.5625;20.4;71.25;3.6875;
2007-12-11;0;29.3;23.6;18.3;63.333333;4.279167;
2007-12-12;0;30.8;23.833333;19.4;68.291667;3.533333;
2007-12-13;1.6;21;18.179167;16.7;94.875;4.595833;
2007-12-14;4.2;22.4;18.345833;17;95.833333;3.495833;
2007-12-15;21.8;25.9;20.183333;16.9;84.666667;3.204167;
2007-12-16;.2;27;20.879167;16.3;75.875;2.6125;
2007-12-17;0;26.5;20.25;16.9;77.208333;2.979167;
2007-12-18;0;25.8;20.170833;16.2;76.291667;2.516667;
2007-12-19;0;25.8;20.3875;17.1;85.791667;2.9375;
2007-12-20;84;21.7;18.741667;17.2;96.166667;2.983333;
2007-12-21;14.4;21.9;19.420833;17.6;94.5;2.533333;
2007-12-22;.4;26.4;20.120833;18.1;89.416667;2.629167;
2007-12-23;31.8;25.4;18.991667;16.9;91.583333;3.15;
2007-12-24;59;25.2;20.129167;17.1;85.916667;2.520833;
2007-12-25;0;26;20.920833;17;78.25;3.083333;
2007-12-26;0;27;22.033333;18.2;73.875;3.375;
2007-12-27;0;28.5;22.554167;18.6;75.666667;2.941667;
2007-12-28;0;28.5;22.65;18.3;76.583333;2.970833;
2007-12-29;0;28.3;23.1375;18.2;70.416667;3.2625;
2007-12-30;0;29.6;23.816667;18.7;67.041667;3.45;
2007-12-31;0;30.3;24.5875;20.2;60.375;3.595833;
2008-01-01;0;29.7;24.833333;20.2;61.791667;1.841667;
2008-01-02;0;28.3;23;19.4;67;2.829167;
2008-01-03;0;27.6;22.345833;18;68.125;3.2;
2008-01-04;0;27.9;23.033333;18.3;63.583333;3.058333;
2008-01-05;0;28;23.279167;19.7;62.875;3.145833;
2008-01-06;33.8;23.9;19.25;17.1;93.333333;2.729167;
2008-01-07;37.2;22.7;18.875;17.3;90.25;2.4;
2008-01-08;3.4;25.2;19.020833;16.5;89.458333;2.516667;
2008-01-09;17.2;26.1;19.025;16.2;91.208333;2.541667;
2008-01-10;11.8;26.3;20.179167;16.4;88.166667;2.6;
2008-01-11;5;26.5;21.070833;17.8;85.916667;3.1125;
2008-01-12;3.6;27.8;22;19;81.416667;3.241667;
2008-01-13;5.8;23.8;20.45;18.7;89.583333;2.329167;
2008-01-14;0;26.4;20.504167;17.5;79.791667;4.320833;
2008-01-15;0;24.8;19.445833;16.3;79.708333;3.470833;
2008-01-16;0;26.6;20.529167;17;77.916667;3.445833;
2008-01-17;0;29.1;21.9;18.6;73.75;3.195833;
2008-01-18;6.8;29;21.733333;17.4;79.916667;3.670833;
2008-01-19;0;29.6;23.695833;19.5;73.916667;3.866667;
2008-01-20;.8;29.2;22.004167;19.1;82.208333;3.904167;
2008-01-21;53.8;19.9;18.141667;17.2;96.666667;3.616667;
2008-01-22;9.2;16.8;15.616667;14.5;98.5;3.558333;
2008-01-23;12.4;18;15.904167;14.2;99;3.1375;
2008-01-24;10;20.4;17.245833;15;94.375;2.416667;
2008-01-25;3.4;22.4;18.333333;16.8;94.125;2.354167;
2008-01-26;3;23.1;17.4875;15.8;90.833333;2.958333;
2008-01-27;1.6;20.1;16.633333;15.2;92.541667;2.416667;
2008-01-28;10.6;18.4;16.529167;15.4;98.541667;3.154167;
2008-01-29;4.6;22.1;18.133333;15.9;91.625;2.9125;
2008-01-30;20.6;24.9;19.341667;16.6;92.458333;2.083333;
2008-01-31;22.6;26.3;20.754167;17.8;87.708333;1.591667;
2008-02-01;7.2;28.4;22.191667;18.3;84.916667;2.708333;
2008-02-02;14.4;28.7;21.754167;17.5;86.958333;3.458333;
2008-02-03;32;23.5;20.4;18.8;93.375;2.733333;
2008-02-04;42.8;21;18.358333;17;94.5;2.720833;
2008-02-05;3.4;22.4;18.2375;15.8;91.666667;1.7375;
2008-02-06;8.2;22.9;18.679167;17.4;97.208333;3.145833;
2008-02-07;42.6;24.2;19.408333;17.1;92.291667;3.179167;
2008-02-08;6.6;26.5;20.258333;17.4;88.291667;3.125;
2008-02-09;4;25.8;21.0875;18.1;88.666667;1.933333;
2008-02-10;.2;28.2;22.233333;18.8;80.666667;3.083333;
2008-02-11;1.8;30.9;23.875;19.9;75;2.633333;
2008-02-12;0;29.7;24.375;19.6;73.625;2.6375;
2008-02-13;0;28.6;23.9125;20.2;74.666667;2.35;
2008-02-14;0;29.4;24.004167;19.5;69.375;2.491667;
2008-02-15;0;27.9;22.725;18.4;73.208333;3.275;
2008-02-16;0;26.8;21.3375;17.7;76.916667;3.291667;
2008-02-17;0;27.9;22.104167;18;75.541667;2.933333;
2008-02-18;0;28.3;21.470833;19.6;78.5;3.3;
2008-02-19;6;27.7;20.041667;16.3;83.625;2.295833;
2008-02-20;0;28.3;21.454167;17.4;80.208333;2.558333;
2008-02-21;84;24.4;null;16.8;89.2;3.58;
2008-02-22;null;26.8;21.091667;18.3;85.25;2.979167;
2008-02-23;9.8;26.7;20.7625;18.9;92.208333;2;
2008-02-24;23.2;25.3;19.941667;18.5;93.916667;1.891667;
2008-02-25;16.8;22.1;18.833333;16.2;88.208333;2.891667;
2008-02-26;2.8;25.1;19.225;17.1;90.75;2.3;
2008-02-27;11.6;24.9;19.4125;17.3;90.125;3.204167;
2008-02-28;3.4;24.1;18.883333;14.8;77.541667;2.508333;
2008-02-29;0;24.4;19.4;15;80.958333;3.104167;
2008-03-01;2.6;21;19.416667;18;93.041667;3.320833;
2008-03-02;3;28.9;22.425;19.1;83.458333;2.854167;
2008-03-03;.4;30.1;23.365217;18.4;76.434783;2.886957;
2008-03-04;.2;30.1;23.6375;19;73.208333;2.870833;
2008-03-05;0;29.9;23.829167;19.7;70.5;2.270833;
2008-03-06;20.4;28.1;22.158333;18.1;83.458333;2.191667;
2008-03-07;3.2;26.2;21.045833;18.2;86.25;2.6375;
2008-03-08;33.2;27.9;21.5;17.2;84.416667;2.633333;
2008-03-09;29.6;26.9;20.408333;16.5;87.333333;2.25;
2008-03-10;15;26.5;21.116667;17.8;82.833333;1.925;
2008-03-11;0;26.8;21.1375;18.1;84.541667;3.545833;
2008-03-12;20.6;26.5;20.0125;17.2;92.416667;2.475;
2008-03-13;32.8;27.6;21.045833;18.2;87;3.575;
2008-03-14;12.6;21.8;17.641667;16.9;96.125;4.679167;
2008-03-15;21.6;17.8;15.55;14.5;98.75;3.104167;
2008-03-16;20.4;23.1;18.245833;14.9;92.75;1.745833;
2008-03-17;0;26.2;21.216667;16.8;85.75;3.3625;
2008-03-18;0;26.1;21.0875;17.8;82.333333;3.616667;
2008-03-19;0;25;20.554167;17.1;80.416667;3.541667;
2008-03-20;0;26.3;20.945833;17.3;78;3.1;
2008-03-21;0;26.1;21.208333;17.8;80.375;3.029167;
2008-03-22;0;26.6;21.5125;18.1;78.5;2.6375;
2008-03-23;0;27.2;20.620833;18.9;82.958333;2.55;
2008-03-24;14.6;26.2;20.116667;17.9;89.875;1.7875;
2008-03-25;14.4;25;19.875;17.2;89.916667;2.895833;
2008-03-26;3.6;24.2;null;17.1;87.714286;1.952381;
2008-03-27;null;null;null;null;null;null;
2008-03-28;7.4;25.6;19.3375;15.6;83.625;1.616667;
